,language,position,gender_tuned,income_level,price
461,Russian,19,female,11584.99538,18
462,Russian,33,female,11584.99538,12
463,Russian,45,female,11584.99538,21
464,Russian,72,female,11584.99538,18
465,Russian,22,female,11584.99538,12
466,Russian,91,female,11584.99538,24
467,Russian,51,female,6663.295293,12
468,Russian,20,male,11584.99538,18
469,Russian,71,female,11584.99538,15
470,Russian,82,female,3659.031312,18
471,Russian,65,female,11584.99538,18
472,Russian,78,female,11584.99538,0
473,Russian,84,female,11584.99538,12
474,Russian,85,female,11584.99538,21
475,Russian,63,male,11584.99538,0
476,Russian,14,female,11584.99538,9
477,Russian,46,female,11584.99538,15
478,Russian,74,female,11584.99538,12
479,Russian,30,female,11584.99538,21
480,Russian,59,female,11584.99538,15
481,Russian,75,female,11584.99538,18
482,Russian,42,female,3659.031312,15
483,Russian,2,male,3659.031312,21
484,Russian,69,female,3659.031312,15
485,Russian,5,female,11584.99538,0
486,Russian,1,female,11584.99538,18
487,Russian,48,female,11584.99538,15
488,Russian,52,female,11584.99538,12
489,Russian,4,female,11584.99538,12
490,Russian,50,female,11584.99538,15
491,Russian,54,female,3659.031312,24
492,Russian,70,female,11584.99538,18
493,Russian,60,female,11584.99538,9
494,Russian,61,female,11584.99538,9
495,Russian,16,male,11584.99538,21
496,Russian,87,male,11584.99538,15
497,Russian,86,female,11584.99538,39
498,Russian,79,female,11584.99538,9
499,Russian,55,male,3659.031312,12
500,Russian,97,female,11584.99538,15
501,Russian,93,male,11584.99538,15
502,Russian,25,female,11584.99538,15
503,Russian,39,female,11584.99538,0
504,Russian,37,female,11584.99538,9
505,Russian,44,female,11584.99538,15
506,Russian,68,male,11584.99538,15
507,Russian,64,female,11584.99538,18
508,Russian,41,female,11584.99538,6
509,Russian,17,male,11584.99538,18
510,Russian,92,female,3659.031312,15
511,Greek,21,female,19582.53598,30
512,Greek,18,female,19582.53598,36
513,Greek,2,female,65297.51751,18
514,Greek,23,female,19582.53598,24
515,Greek,5,female,19582.53598,21
516,Greek,1,female,19582.53598,24
517,Greek,4,female,19582.53598,27
518,Greek,16,female,19582.53598,33
519,Greek,11,male,19582.53598,24
520,Greek,8,female,19582.53598,21
521,Greek,3,male,19582.53598,30
522,Greek,19,female,19582.53598,45
523,Greek,10,female,19582.53598,24
524,Greek,22,female,19582.53598,24
525,Greek,20,male,19582.53598,24
526,Greek,7,female,19582.53598,18
527,Greek,6,female,19582.53598,30
528,Greek,15,female,19582.53598,30
529,Greek,9,female,19582.53598,30
530,Greek,14,female,19582.53598,24
531,Greek,13,female,19582.53598,27
532,Greek,17,male,19582.53598,33
533,Greek,12,female,19582.53598,24
534,English,185,male,42330.11754,33
535,English,431,male,65297.51751,39
536,English,198,female,65297.51751,21
537,English,94,female,42330.11754,24
538,English,224,female,42330.11754,27
539,English,73,male,65297.51751,12
540,English,291,female,65297.51751,24
541,English,369,female,65297.51751,12
542,English,244,female,65297.51751,21
543,English,304,male,65297.51751,15
544,English,124,male,6001.400814,9
545,English,318,female,6001.400814,12
546,English,341,male,42330.11754,21
547,English,393,male,42084.35337,24
548,English,381,female,65297.51751,33
549,English,160,female,65297.51751,21
550,English,120,female,6001.400814,15
551,English,118,female,65297.51751,21
552,English,275,female,46194.72523,21
553,English,362,female,3485.084218,21
554,English,13,male,42330.11754,18
555,English,145,male,46194.72523,24
556,English,12,female,42330.11754,30
557,English,261,female,42330.11754,36
558,English,35,male,42330.11754,18
559,English,136,female,42330.11754,33
560,English,358,female,6001.400814,12
561,English,245,female,6001.400814,18
562,English,366,male,42330.11754,15
563,English,132,male,42330.11754,0
564,English,421,male,42330.11754,21
565,English,36,female,65297.51751,15
566,English,197,female,42330.11754,27
567,English,426,female,65297.51751,24
568,English,100,male,42330.11754,24
569,English,171,female,6001.400814,12
570,English,150,female,65297.51751,21
571,English,250,female,65297.51751,27
572,English,38,male,65297.51751,27
573,English,337,female,46194.72523,21
574,English,149,female,2099.599048,15
575,English,227,female,3019.205829,12
576,English,219,female,65297.51751,36
577,English,357,female,65297.51751,12
578,English,152,female,42330.11754,30
579,English,388,female,65297.51751,18
580,English,378,male,65297.51751,21
581,English,438,female,65297.51751,21
582,English,314,female,6001.400814,9
583,English,254,female,65297.51751,18
584,English,287,male,65297.51751,15
585,English,218,female,42330.11754,27
586,English,375,male,42330.11754,30
587,English,440,female,46194.72523,21
588,English,363,female,42330.11754,15
589,English,298,male,42330.11754,24
590,English,294,male,65297.51751,18
591,English,111,female,65297.51751,18
592,English,286,male,65297.51751,21
593,English,91,male,6001.400814,9
594,English,323,female,42330.11754,24
595,English,391,female,6001.400814,24
596,English,405,female,65297.51751,54
597,English,441,female,42330.11754,36
598,English,316,female,78660.95646,33
599,English,188,female,6001.400814,12
600,English,119,male,46194.72523,21
601,English,229,male,42330.11754,21
602,English,137,female,65297.51751,24
603,English,14,male,42330.11754,24
604,English,264,female,42330.11754,18
605,English,435,male,42330.11754,15
606,English,30,female,42330.11754,30
607,English,432,female,6001.400814,12
608,English,402,male,42330.11754,18
609,English,408,female,42330.11754,24
610,English,327,female,42330.11754,18
611,English,210,male,65297.51751,6
612,English,279,female,65297.51751,15
613,English,400,female,65297.51751,24
614,English,288,female,5582.263778,24
615,English,295,female,42330.11754,24
616,English,52,male,2099.599048,15
617,English,4,female,46194.72523,18
618,English,376,female,65297.51751,21
619,English,300,male,42330.11754,24
620,English,321,male,42330.11754,18
621,English,446,male,65297.51751,12
622,English,87,female,65297.51751,18
623,English,406,female,42084.35337,0
624,English,401,female,42330.11754,21
625,English,102,female,42330.11754,24
626,English,296,male,65297.51751,21
627,English,55,male,42330.11754,24
628,English,180,female,42330.11754,24
629,English,117,male,42330.11754,24
630,English,97,male,65297.51751,24
631,English,429,female,42330.11754,39
632,English,270,male,65297.51751,24
633,English,379,male,65297.51751,18
634,English,371,male,42330.11754,30
635,English,25,male,42330.11754,39
636,English,199,female,6001.400814,12
637,English,313,male,6001.400814,12
638,English,348,male,42330.11754,48
639,English,247,male,65297.51751,27
640,English,121,female,6001.400814,15
641,English,192,male,65297.51751,21
642,English,367,female,65297.51751,30
643,English,23,male,6001.400814,15
644,English,322,male,33228.23668,15
645,English,24,female,65297.51751,21
646,English,394,male,42330.11754,18
647,English,364,male,42330.11754,18
648,English,170,male,65297.51751,12
649,English,80,male,65297.51751,18
650,English,403,male,42330.11754,24
651,English,285,female,65297.51751,18
652,English,267,male,42330.11754,30
653,English,177,male,65297.51751,12
654,English,253,female,65297.51751,39
655,English,129,male,42330.11754,24
656,English,90,female,46194.72523,27
657,English,76,female,65297.51751,24
658,English,40,female,65297.51751,18
659,English,193,male,65297.51751,15
660,English,226,male,42330.11754,18
661,English,110,female,65297.51751,18
662,English,164,male,78660.95646,21
663,English,233,male,42330.11754,39
664,English,112,male,65297.51751,12
665,English,265,male,65297.51751,27
666,English,231,male,42330.11754,18
667,English,319,male,65297.51751,18
668,English,338,female,6001.400814,15
669,English,220,male,42330.11754,15
670,English,95,female,65297.51751,36
671,English,251,male,6001.400814,24
672,English,138,female,65297.51751,27
673,English,385,female,6001.400814,9
674,English,184,female,65297.51751,18
675,English,334,male,65297.51751,0
676,English,66,female,65297.51751,27
677,English,297,male,42330.11754,15
678,English,417,female,55060.3261,0
679,English,146,male,42330.11754,18
680,English,418,female,65297.51751,27
681,English,268,female,65297.51751,24
682,English,302,female,65297.51751,18
683,English,153,female,65297.51751,15
684,English,15,female,6001.400814,12
685,English,9,female,65297.51751,24
686,English,410,male,42330.11754,15
687,English,333,female,65297.51751,39
688,English,104,male,65297.51751,45
689,English,141,male,6001.400814,9
690,English,215,male,42330.11754,24
691,English,398,female,42330.11754,42
692,English,413,male,46194.72523,24
693,English,205,male,42330.11754,0
694,English,26,male,65297.51751,18
695,English,62,male,17397.98176,24
696,English,373,female,42330.11754,24
697,English,31,male,42330.11754,15
698,English,336,male,42330.11754,12
699,English,411,female,6001.400814,9
700,English,217,female,65297.51751,21
701,English,415,male,46194.72523,24
702,English,19,female,46194.72523,45
703,English,131,female,65297.51751,30
704,English,399,male,46194.72523,21
705,English,368,male,65297.51751,18
706,English,273,male,42330.11754,27
707,English,412,male,65297.51751,18
708,English,236,female,78660.95646,27
709,English,78,female,46194.72523,24
710,English,263,female,65297.51751,15
711,English,249,male,42330.11754,21
712,English,392,male,42330.11754,27
713,English,342,female,42330.11754,18
714,English,442,male,42330.11754,18
715,English,59,male,65297.51751,21
716,English,75,male,42330.11754,0
717,English,28,female,65297.51751,36
718,English,42,male,42330.11754,24
719,English,274,male,6001.400814,18
720,English,397,female,65297.51751,18
721,English,310,female,55060.3261,15
722,English,280,female,6001.400814,21
723,English,328,female,46194.72523,15
724,English,50,male,65297.51751,51
725,English,166,male,65297.51751,0
726,English,54,male,65297.51751,15
727,English,212,female,42330.11754,27
728,English,61,male,65297.51751,24
729,English,396,male,65297.51751,12
730,English,389,female,46194.72523,15
731,English,221,female,3485.084218,12
732,English,248,female,6001.400814,15
733,English,196,male,65297.51751,24
734,English,187,male,65297.51751,18
735,English,330,male,65297.51751,24
736,English,365,male,42330.11754,15
737,English,156,male,65297.51751,30
738,English,190,female,78660.95646,12
739,English,380,female,6001.400814,21
740,English,239,female,42330.11754,18
741,English,64,female,42330.11754,24
742,English,173,female,42330.11754,21
743,English,387,male,65297.51751,0
744,English,448,male,55060.3261,18
745,English,169,male,65297.51751,18
746,English,370,female,42330.11754,45
747,English,183,female,65297.51751,27
748,English,194,male,65297.51751,21
749,English,178,male,65297.51751,0
750,English,282,female,65297.51751,18
751,English,18,female,42330.11754,21
752,English,360,male,42330.11754,24
753,English,414,female,6001.400814,15
754,English,346,male,42330.11754,18
755,English,148,male,42330.11754,39
